Protein_Gene	RNA_Gene		
IGF2BP1	DPP9		
IGF2BP1	DPY19L1		
IGF2BP1	DPY19L3		
IGF2BP1	DPYSL3		
IGF2BP1	DPYSL5		
IGF2BP1	DRAM2		
IGF2BP1	DRG1		
IGF2BP1	DROSHA		
IGF2BP1	DSC3		
IGF2BP1	DSG2		
IGF2BP1	DSN1		
IGF2BP1	DSP		
IGF2BP1	DST		
IGF2BP1	DSTN		
IGF2BP1	DTL		
IGF2BP1	DTNB		
IGF2BP1	DTYMK		
IGF2BP1	DUS1L		
IGF2BP1	DUSP1		
IGF2BP1	DUSP16		
IGF2BP1	DUT		
IGF2BP1	DVL3		
IGF2BP1	DYNC1H1		
IGF2BP1	DYNC1LI2		
IGF2BP1	DYNLL1		
IGF2BP1	DYNLRB1		
IGF2BP1	DYNLT1		
IGF2BP1	DYRK2		
IGF2BP1	DZIP1		
IGF2BP1	E2F1		
IGF2BP1	E2F3		
IGF2BP1	E2F4		
IGF2BP1	E2F5		
IGF2BP1	E2F7		
IGF2BP1	EAPP		
IGF2BP1	EBLN3		
IGF2BP1	EBP		
IGF2BP1	ECE1		
IGF2BP1	ECHDC1		
IGF2BP1	ECHS1		
IGF2BP1	ECI2		
IGF2BP1	EDC3		
IGF2BP1	EDC4		
IGF2BP1	EDEM1		
IGF2BP1	EEA1		
IGF2BP1	EEF1A1		
IGF2BP1	EEF1B2		
IGF2BP1	EEF1E1		
IGF2BP1	EEF1G		
IGF2BP1	EEF2		
IGF2BP1	EFCAB10		
IGF2BP1	EFCAB14		
IGF2BP1	EFNA5		
IGF2BP1	EFNB2		
IGF2BP1	EFTUD2		
IGF2BP1	EGLN1		
IGF2BP1	EHBP1		
IGF2BP1	EHMT1		
IGF2BP1	EIF1		
IGF2BP1	EIF1AX		
IGF2BP1	EIF1B		
IGF2BP1	EIF2A		
IGF2BP1	EIF2AK1		
IGF2BP1	EIF2B1		
IGF2BP1	EIF2B5		
IGF2BP1	EIF2S1		
IGF2BP1	EIF2S3		
IGF2BP1	EIF3A		
IGF2BP1	EIF3B		
